#Organism	Tissue	Cell	Experiment	Background	Method	Repeat	Antibody	Sequencer	Read Type	Multiplex	Library

		B cell	Mila's TC-Seq 53bp1 -/-	cMyc_53BP1mm_AIDmm	TC-Seq			Genome Analyzer II	Paired-end 1	1	s_4_1_sequence.txt.gz

		B cell	Mila's TC-Seq 53bp1 -/-	cMyc_53BP1mm_AIDmm	TC-Seq			Genome Analyzer II	Paired-end 2	1	s_4_2_sequence.txt.gz

		B cell	Mila's TC-Seq 53bp1 -/-	cMyc_53BP1mm_AIDrv	TC-Seq			HiSeq2000	Paired-end 1	1	s_5_1_sequence.txt.gz

		B cell	Mila's TC-Seq 53bp1 -/-	cMyc_53BP1mm_AIDrv	TC-Seq			HiSeq2000	Paired-end 2	1	s_5_2_sequence.txt.gz

		B cell	Mila's TC-Seq	cMyc MycRv AIDwt	TC-Seq			MiSeq	Paired-end 1	0	TCSeqMila4_S1_L001_R1_001.fastq.gz

		B cell	Mila's TC-Seq	cMyc MycRv AIDwt	TC-Seq			MiSeq	Paired-end 2	0	TCSeqMila4_S1_L001_R2_001.fastq.gz

		B cell	Mila Virus integration	Virus only	IC-Seq						

		B cell	Mila Virus integration	Virus only	IC-Seq						

		B cell	Mila Virus integration	Virus + AIDrv	IC-Seq			MiSeq	Paired-end 1	0	Virus-integration-WT_S1_L001_R1_001.fastq.gz

		B cell	Mila Virus integration	Virus + AIDrv	IC-Seq			MiSeq	Paired-end 2	0	Virus-integration-WT_S1_L001_R2_001.fastq.gz

		B cell	Mila  TC-Seq Estrogen	cMyc_Estrogen+	TC-Seq			MiSeq	Paired-end 1	0	Mila3_S1_L001_R1_001.fastq.gz

		B cell	Mila  TC-Seq Estrogen	cMyc_Estrogen+	TC-Seq			MiSeq	Paired-end 2	0	Mila3_S1_L001_R2_001.fastq.gz

		B cell	Mila  TC-Seq Estrogen	cMyc_Estrogen-	TC-Seq			MiSeq	Paired-end 1	0	EstrogennegativeIscerv_S1_L001_R1_001.fastq.gz

		B cell	Mila  TC-Seq Estrogen	cMyc_Estrogen-	TC-Seq			MiSeq	Paired-end 2	0	EstrogennegativeIscerv_S1_L001_R2_001.fastq.gz

		B cell	Mila TDG experiment	5caC TDG knock-down	DIP-Seq	Replicate 1	5caC	HiSeq2000	Single-end	1	TDGacaC_1_CGATGT_L008_R1_001.fastq.gz

		B cell	Mila TDG experiment	5caC TDGwt	DIP-Seq	Replicate 1	5caC	HiSeq2000	Single-end	1	TDGacaC_2_TGACCA_L008_R1_001.fastq.gz

		B cell	Mila TDG experiment	5caC TDG knock-down	DIP-Seq	Replicate 2	5caC	HiSeq2000	Single-end	1	TDGacaC_3_ACAGTG_L008_R1_001.fastq.gz

		B cell	Mila TDG experiment	5caC TDGwt	DIP-Seq	Replicate 2	5caC	HiSeq2000	Single-end	1	TDGacaC_4_GCCAAT_L008_R1_001.fastq.gz

		B cell	Mila TDG experiment	5fC TDG knock-down	DIP-Seq	Replicate 1	5fC	HiSeq2000	Single-end	1	TDGaFC_1_CGATGT_L002_R1_001.fastq.gz

		B cell	Mila TDG experiment	5fC TDGwt	DIP-Seq	Replicate 1	5fC	HiSeq2000	Single-end	1	TDGaFC_2_TGACCA_L002_R1_001.fastq.gz

		B cell	Mila TDG experiment	5fC TDG knock-down	DIP-Seq	Replicate 2	5fC	HiSeq2000	Single-end	1	TDGaFC_3_ACAGTG_L002_R1_001.fastq.gz

		B cell	Mila TDG experiment	5fC TDGwt	DIP-Seq	Replicate 2	5fC	HiSeq2000	Single-end	1	TDGaFC_4_GCCAAT_L002_R1_001.fastq.gz

